;precision;recall;f1-score;support
0;0.85;0.9444444444444444;0.8947368421052632;18.0
1;0.8;0.5714285714285714;0.6666666666666666;7.0
accuracy;0.84;0.84;0.84;0.84
macro avg;0.825;0.7579365079365079;0.7807017543859649;25.0
weighted avg;0.836;0.84;0.8308771929824562;25.0
