iter	Logloss
0	0.6903736656
1	0.6873346768
2	0.6836633899
3	0.6805037353
4	0.6775077931
5	0.6743051718
6	0.6717709435
7	0.6683981042
8	0.6662863521
9	0.6633659264
10	0.6609090779
11	0.6580301086
12	0.6550260218
13	0.6519201882
14	0.6489600025
15	0.6464574411
16	0.6439207015
17	0.6412326526
18	0.6385543766
19	0.6358369515
20	0.6334286026
21	0.6303905723
22	0.6278051486
23	0.6257678454
24	0.6230299755
25	0.62065354
26	0.6183841456
27	0.6156430047
28	0.6128153631
29	0.6098639647
30	0.6072926829
31	0.6051622291
32	0.6014166578
33	0.598382862
34	0.595093602
35	0.5925761173
36	0.5904271933
37	0.5875683352
38	0.5853468962
39	0.5813945499
40	0.5791273851
41	0.5766601205
42	0.5737881447
43	0.5717415918
44	0.5691995581
45	0.5675084125
46	0.5648476127
47	0.5626383671
48	0.5607331635
49	0.5582786756
50	0.5560894085
51	0.5543153176
52	0.5518009983
53	0.5487856314
54	0.5466811613
55	0.5444809506
56	0.5415676445
57	0.5397753138
58	0.5379435619
59	0.5358423322
60	0.5336547952
61	0.531308147
62	0.5287433231
63	0.5256494474
64	0.5232852282
65	0.5211992803
66	0.5189072405
67	0.516783191
68	0.5147514287
69	0.5131001033
70	0.5116242269
71	0.5090873255
72	0.507020842
73	0.505417828
74	0.5031773693
75	0.5009346321
76	0.4987518306
77	0.4966665374
78	0.4951421858
79	0.4932316631
80	0.4909104171
81	0.4893657454
82	0.4874524163
83	0.4856641408
84	0.4832988608
85	0.4810544504
86	0.478911294
87	0.4768669885
88	0.4744661734
89	0.4726306955
90	0.4707647729
91	0.4685820705
92	0.4667330241
93	0.4649801492
94	0.4625746074
95	0.4611027738
96	0.4595831267
97	0.4575095041
98	0.4561951126
99	0.4546000415
100	0.4526002773
101	0.450869193
102	0.4491186817
103	0.4471744343
104	0.4450583143
105	0.4432850575
106	0.4409198109
107	0.4391216016
108	0.437469542
109	0.4361543273
110	0.4341888901
111	0.4323812368
112	0.4300723299
113	0.4279458466
114	0.426595181
115	0.4250735892
116	0.423653281
117	0.4218632529
118	0.4199278669
119	0.4185222687
120	0.4167975567
121	0.4149961225
122	0.4123663192
123	0.4104559466
124	0.4094419538
125	0.4080729542
126	0.4066562021
127	0.4046582861
128	0.4030971095
129	0.4014287515
130	0.3995252892
131	0.3982127578
132	0.3966426895
133	0.3951328122
134	0.394181949
135	0.3929329457
136	0.3914861592
137	0.3904104126
138	0.388921389
139	0.3878608765
140	0.3860939798
141	0.3846685129
142	0.3828749259
143	0.3820149064
144	0.3800023905
145	0.3788875007
146	0.3775275417
147	0.3764020458
148	0.3752679549
149	0.3739771983
150	0.3725207869
151	0.3711334842
152	0.3694620966
153	0.3680063397
154	0.3672093163
155	0.3660528699
156	0.3646520941
157	0.3636383523
158	0.3625110073
159	0.360998491
160	0.3597909202
161	0.3580667763
162	0.3569786819
163	0.354883925
164	0.3533746906
165	0.3518737609
166	0.3505201966
167	0.348944574
168	0.3474770702
169	0.3459142401
170	0.3446240179
171	0.3429889543
172	0.3419047352
173	0.3402827311
174	0.3388516034
175	0.337469188
176	0.3359649077
177	0.3342707883
178	0.3331521819
179	0.3320542776
180	0.3306859676
181	0.3293265855
182	0.3282666999
183	0.3271955159
184	0.3258883336
185	0.3246861764
186	0.3236416451
187	0.3225735707
188	0.320926826
189	0.3198123192
190	0.3188010344
191	0.3174740169
192	0.3164463682
193	0.3152113431
194	0.3140164967
195	0.3130232249
196	0.3121205291
197	0.3109060249
198	0.3097509063
199	0.3086721217
200	0.307528377
201	0.3061256241
202	0.3051949186
203	0.3038864461
204	0.3030273602
205	0.3020169162
206	0.3012190164
207	0.3000609354
208	0.2992026449
209	0.2978575814
210	0.296815491
211	0.2960419632
212	0.294933205
213	0.2943053237
214	0.2933261334
215	0.2923289571
216	0.2910198528
217	0.2901305512
218	0.2890793639
219	0.2881765028
220	0.2874311476
221	0.2859981832
222	0.2850927183
223	0.2841165072
224	0.2835414348
225	0.2826435892
226	0.2818247785
227	0.2808961418
228	0.2800295386
229	0.2786267802
230	0.2773720858
231	0.2766692072
232	0.2754843139
233	0.2747874033
234	0.2738253456
235	0.2723813939
236	0.2713567971
237	0.2705266888
238	0.2698127651
239	0.2689476659
240	0.2682210867
241	0.2670983028
242	0.2661484974
243	0.2651294297
244	0.2642913274
245	0.2633979007
246	0.2625704421
247	0.2615727755
248	0.260650001
249	0.2599095654
250	0.2590333282
251	0.2581992411
252	0.2571421201
253	0.2561643858
254	0.2549869063
255	0.2543412455
256	0.2536323177
257	0.2530118769
258	0.252219562
259	0.2514351696
260	0.2509049107
261	0.2502008328
262	0.2492747107
263	0.2485582809
264	0.2479034599
265	0.2470745908
266	0.2463431995
267	0.2456663796
268	0.2450882432
269	0.2441507638
270	0.2434333999
271	0.2426033314
272	0.2420507632
273	0.2410231782
274	0.2405789432
275	0.2400547023
276	0.2391288054
277	0.2385772876
278	0.2378652177
279	0.2370865826
280	0.2364460004
281	0.2356593452
282	0.2348541632
283	0.2340655704
284	0.2332082332
285	0.2325482108
286	0.2318844417
287	0.2312657893
288	0.230617086
289	0.2297240966
290	0.229085369
291	0.2284065844
292	0.2275041685
293	0.2266619182
294	0.2258424619
295	0.2251350281
296	0.2245935276
297	0.2240118587
298	0.2232911787
299	0.2224804892
300	0.2217843676
301	0.2211873386
302	0.2206905074
303	0.2198053269
304	0.2189260679
305	0.2183297793
306	0.2174069752
307	0.2166473346
308	0.2162384917
309	0.2157610361
310	0.2147333182
311	0.2140824585
312	0.213743647
313	0.2129302153
