iter	Passed	Remaining
398	115409	173836
399	115816	173724
400	116070	173382
401	116338	173061
402	116668	172831
403	117103	172755
404	117384	172453
405	117721	172232
406	118059	172012
407	118359	171736
408	118630	171419
409	118975	171209
410	119265	170917
411	119500	170548
412	119726	170168
413	119979	169826
414	120231	169482
415	120443	169083
416	120653	168683
417	120871	168295
418	121088	167905
419	121311	167525
420	121531	167142
421	121753	166761
422	121957	166358
423	122171	165968
424	122386	165582
425	122595	165187
426	122816	164810
427	123065	164470
428	123343	164170
429	123558	163786
430	123785	163419
431	124011	163051
432	124254	162706
433	124494	162359
434	124734	162011
435	124967	161655
436	125205	161305
437	125447	160962
438	125680	160607
439	125918	160260
440	126155	159911
441	126383	159552
442	126629	159216
443	126848	158846
444	127067	158477
445	127284	158106
446	127505	157741
447	127727	157377
448	127946	157011
449	128177	156660
450	128455	156367
451	128720	156059
452	128949	155706
453	129165	155339
454	129387	154980
455	129627	154643
456	129865	154303
457	130104	153966
458	130330	153613
459	130545	153249
460	130787	152916
461	131007	152558
462	131278	152260
463	131507	151914
464	131732	151562
465	131995	151256
466	132256	150948
467	132491	150609
468	132706	150249
469	132954	149927
470	133189	149590
471	133440	149272
472	133653	148912
473	133884	148572
474	134217	148345
475	134496	148059
476	134758	147753
477	135021	147450
478	135274	147136
479	135528	146822
480	135774	146500
481	136047	146208
482	136357	145956
483	136580	145610
484	136796	145258
485	137012	144906
486	137290	144619
487	137517	144280
488	137723	143919
489	137953	143584
490	138175	143241
491	138397	142898
492	138621	142557
493	138875	142248
494	139131	141942
495	139386	141634
496	139627	141313
497	139858	140981
498	140098	140660
499	140317	140317
500	140545	139984
501	140774	139653
502	141008	139326
503	141224	138983
504	141460	138659
505	141681	138321
506	141902	137984
507	142141	137664
508	142369	137335
509	142614	137021
510	142849	136699
511	143090	136383
512	143316	136053
513	143583	135761
514	143807	135430
515	144050	135117
516	144280	134792
517	144500	134458
518	144724	134128
519	144975	133823
520	145197	133492
521	145439	133180
522	145668	132856
523	145946	132577
524	146200	132276
525	146416	131942
526	146647	131621
527	146896	131316
528	147138	131006
529	147376	130692
530	147611	130376
531	147843	130058
532	148083	129746
533	148309	129423
534	148525	129092
535	148751	128769
536	149047	128508
537	149346	128249
538	149646	127990
539	149964	127747
540	150301	127519
541	150604	127263
542	150858	126965
543	151213	126752
544	151441	126432
545	151655	126101
546	151935	125825
547	152202	125539
548	152449	125235
549	152680	124920
550	152895	124591
551	153109	124262
552	153325	123935
553	153569	123631
554	153841	123350
555	154073	123036
556	154330	122743
557	154581	122446
558	154821	122139
559	155064	121836
560	155293	121521
561	155528	121212
562	155755	120897
563	155993	120590
564	156287	120327
565	156519	120016
566	156739	119697
567	156956	119375
568	157181	119060
569	157397	118738
570	157625	118426
571	157929	118170
572	158174	117871
573	158388	117549
574	158606	117231
575	158978	117025
576	159250	116746
577	159635	116550
578	159986	116328
579	160310	116087
580	160680	115878
581	161027	115651
582	161406	115448
583	161889	115318
584	162432	115230
585	162945	115118
586	163445	114996
587	163958	114882
588	164511	114794
589	165041	114689
590	165502	114535
591	166076	114458
592	166509	114282
593	167015	114155
594	167477	113997
595	167937	113836
596	168401	113678
597	168845	113504
598	169327	113355
599	169774	113182
600	170245	113024
601	170768	112899
602	171272	112761
603	171769	112616
604	172260	112467
605	172702	112285
606	173219	112150
607	173713	111999
608	174162	111818
609	174624	111645
610	175371	111652
611	175840	111480
612	176326	111318
613	176849	111179
614	177319	111004
615	177805	110839
616	178305	110682
617	178794	110516
618	179292	110356
619	179807	110204
620	180315	110047
621	180787	109867
622	181272	109694
