Sample;Catarrhini;Platyrrhini;Odontoceti;Mysticeti;Heteroneura
SRR22402339;29443;0;0;0;0
SRR22402340;46113;0;0;0;0
SRR22402375;2727;0;0;0;0
SRR22402385;1236678;101;0;0;0
SRR22402274;26148;0;0;0;0
SRR22402330;371399;20;0;0;0
SRR22402327;12080;0;0;0;0
SRR15595340;10443410;703;0;0;0
SRR22402308;693356;46;0;0;0
SRR22402360;557581;40;0;0;0
SRR15595261;16506;5;0;0;0
SRR15595319;850;0;0;0;0
SRR15595313;422;0;0;0;0
SRR15595307;2027;0;0;0;0
SRR15595341;1156;0;0;0;0
SRR22402291;153301;18;0;0;0
SRR15595333;13302759;604;0;0;0
SRR15595320;10703080;524;0;0;0
SRR22402315;1088;0;0;0;0
SRR22402363;624;0;0;0;0
SRR22402328;105783;7;0;0;0
SRR22402366;21283;0;0;0;0
SRR15595323;6986612;320;0;0;0
SRR15595275;28184;0;0;0;0
SRR22402351;27245;0;0;0;0
SRR15595287;4810495;214;0;0;0
SRR15595334;13932325;610;0;0;0
SRR22402362;99538;0;0;0;0
SRR22402357;6778;0;0;0;0
SRR22402334;319621;0;0;0;0
SRR15595325;44125;11;0;0;0
SRR22402373;175360;0;0;0;0
SRR15595322;5544978;282;0;0;0
SRR15595328;4820456;221;0;0;0
SRR22402294;835;1;0;0;0
SRR15595318;12529586;578;0;0;0
SRR15595327;5471108;249;0;0;0
SRR15595299;8254243;366;0;0;0
