Sample;Decapoda;Diptera;Primates;Rosales;Solanales;Tubulidentata;Salmoniformes;Asterales;Rodentia;Sapindales;Apiales;Carnivora;Zingiberales;Brassicales;Fagales;Testudines;Gobiiformes;Malpighiales;Poales;Accipitriformes;Eurotiales;Artiodactyla;Comatulida;Arecales;Hymenoptera;Asparagales;Cypriniformes;Ostreida;Squamata;Fabales;Macroscelidea;Malvales;Amphipoda;Lamiales;Vitales;Cucurbitales;Acipenseriformes;Ceratodontiformes;Ranunculales;Caryophyllales;Siphonaptera;Chiroptera;Passeriformes;Mycosphaerellales;Galliformes;Diprotodontia;Dermoptera;Xylariales;Helotiales;Hemiptera;Ixodida;Lepidoptera;Hypocreales;Venerida;Rajiformes;Perissodactyla;Ericales;Pelecaniformes;Neuroptera;Proteales;Mugiliformes;Eulipotyphla;Didelphimorphia;Orthoptera;Phthiraptera;Myrtales;Characiformes;Kurtiformes;Cuculiformes;Gymnophiona;Psittaciformes;Rhynchobdellida;Siluriformes;Gruiformes;Strigeidida;Beloniformes;Scandentia;Microbiotheria;Octopoda;Anura;Chaetothyriales;Araneae;Diaporthales;Apodiformes;Polypteriformes;Cichliformes;Lamniformes;Carcharhiniformes;Pilosa;Anseriformes;Columbiformes;Apusomonadida;Thiotrichales;Mycoplasmoidales;Burkholderiales;Synergistales;Chromatiales;Pseudomonadales;Spirochaetales;Deferribacterales;Methylococcales;Pelagibacterales;Alteromonadales;Kosmotogales;Sphingomonadales;Oceanospirillales;Nevskiales;Endomicrobiales;Vibrionales;Acidobacteriales;Enterobacterales;Cellvibrionales;Sneathiellales;Moraxellales;Aquificales;Cardiobacteriales;Parvularculales;Thermodesulfovibrionales;Hyphomicrobiales;Legionellales;Xanthomonadales;Bryobacterales;Rhodothalassiales;Kordiimonadales;Rickettsiales;Acidithiobacillales;Petrotogales;Hydrogenophilales;Thermotogales;Thermodesulfobacteriales;Pasteurellales;Orbales;Rhodocyclales;Nitrosomonadales;Maricaulales;Brachyspirales;Rhodospirillales;Emcibacterales;Blastocatellales;Rhodobacterales;Fusobacteriales;Leptospirales;Desulfurobacteriales;Micropepsales;Aeromonadales;Coprothermobacterales;Hyphomonadales;Holosporales;Caulobacterales;Thermoplasmatales;Thermoanaerobaculales;Neisseriales;Nitrospirales;Bdellovibrionales;Salinisphaerales;Chrysiogenales;Magnetococcales;Silvanigrellales;Acanthopleuribacterales;Holophagales;Bacteriovoracales;Calditrichales;Mesoaciditogales;Kangiellales;Vicinamibacterales;Mariprofundales;Brevinematales;Iodidimonadales;Immundisolibacterales;Thermotomaculales;Methanomassiliicoccales;Elusimicrobiales;Acidiferrobacterales;Arenicellales;Dictyoglomales;Diplomonadida;Methanonatronarchaeales;Oligoflexales;Ferrovales;Kiloniellales;Thermococcales;Micrococcales;Tubulavirales;Actinomycetales;Entomoplasmatales;Erysipelotrichales;Campylobacterales;Isosphaerales;Acidimicrobiales;Bifidobacteriales;Pleurocapsales;Bacillales;Crassvirales;Thermoanaerobacterales;Petitvirales;Sulfolobales;Eubacteriales;Corynebacteriales;Desulfuromonadales;Propionibacteriales;Geodermatophilales;Micromonosporales;Myxococcales;Glycomycetales;Streptomycetales;Desulfovibrionales;Herpesvirales;Syntrophorhabdales;Lactobacillales;Armatimonadales;Tissierellales;Haloplasmatales;Nautiliales;Coriobacteriales;Caudovirales;Picornavirales;Frankiales;Nostocales;Streptosporangiales;Thermogemmatisporales;Caldilineales;Deinococcales;Bacteroidetes Order II. Incertae sedis;Victivallales;Opitutales;Pseudanabaenales;Rubrobacterales;Acholeplasmatales;Synechococcales;Verrucomicrobiales;Haloferacales;Limnochordales;Gemmatales;Halanaerobiales;Chloroflexales;Durnavirales;Thermales;Desulfobacterales;Vampirovibrionales;Candidatus Borkfalkiales;Fibrobacterales;Actinopolysporales;Solirubrobacterales;Veillonellales;Anaerolineales;Natrialbales;Selenomonadales;Jiangellales;Halobacteriales;Kineosporiales;Pirellulales;Catenulisporales;Mycoplasmatales;Ktedonobacterales;Longimicrobiales;Chlamydiales;Pseudonocardiales;Anaeroplasmatales;Thermosediminibacterales;Methanobacteriales;Cremevirales;Nitrospinales;Acidaminococcales;Gemmatimonadales;Imitervirales;Puniceicoccales;Fimbriimonadales;Parachlamydiales;Syntrophobacterales;Herpetosiphonales;Motilibacterales;Cirlivirales;Planctomycetales;Eggerthellales;Desulfarculales;Chroococcidiopsidales;Ardenticatenales;Sedimentisphaerales;Chthonomonadales;Ortervirales;Amarillovirales;Vinavirales;Kiritimatiellales;Syntrophales;Chitinivibrionales;Desulfuribacillales;Nidovirales;Thermolithobacterales;Natranaerobiales;Dehalococcoidales;Chitinispirillales;Methanosarcinales;Methanomicrobiales;Phycisphaerales;Bradymonadales;Kalamavirales;Desulfurellales;Euzebyales;Zurhausenvirales;Nitriliruptorales;Cryptosporangiales;Lentisphaerales;Candidatus Nanopelagicales;Piccovirales;Ghabrivirales;Gaiellales;Methanococcales;Caldisericales;Thermoproteales;Acidilobales;Algavirales;Terrimicrobiales;Thermoleophilales;Chitovirales;Egicoccales;Trueperales;Geplafuvirales;Tolivirales;Chthoniobacterales;Tichowtungiales;Culicoidibacterales;Sepolyvirales;Candidatus Cryosericales;Spirulinales;Thermomicrobiales;Primavirales;Tepidiformales;Tepidisphaerales;Oligosphaerales;Sporichthyales;Kallotenuales;Egibacterales;Thermoflexales;Nakamurellales;Rowavirales;Mindivirales;Oscillatoriales;Bacteroidales;Chlorobiales;Chroococcales;Marinilabiliales;Cytophagales;Gloeobacterales;Candidatus Nanoperiomorbales;Sphingobacteriales;Ignavibacteriales;Rhodothermales;Flavobacteriales;Candidatus Nanosynbacterales;Chitinophagales;Saprospirales;Opalinata;Candidatus Saccharimonadales;Sphaerobacterales;Balneolales;Candidatus Nanogingivales;Haemosporida;Candidatus Saccharimonales;Bunyavirales;Candidatus Sulfidibacteriales;Dictyosteliales
SRR22402381;0;2;102184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;173151;183;72;294;54;3;47;0;3;0;176;29;0;0;35;15;6456;2;0;363;0;6;0;0;757;2;90;0;0;0;13;11;0;1;9;0;2528;1;15;42;4;2;163;3;1;271;32;9;0;0;11;0;15;0;18;0;10;102;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;846;3541;688;4;298307;95;0;36;3460;0;2818;660;22;2067;0;6455287;327;78;327;3;29;32;9;295;50794;2;0;9940;0;336;0;1;1317;308756;0;12;10;22;0;9;59;1;0;9;3;5;5;28;1816682;0;2;1;66;0;12;4;6;0;54402;2;0;3;37553;1;5;240;0;56;2;18;0;1;4;0;0;100;0;1;12432;0;0;64220;0;0;2;0;2;0;0;0;0;4;247767;0;0;0;0;10;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;18471315;11;2;0;0;0;0;17;10;0;81;23;6;2;0;0;0;0;0;0;0;0;0;0
SRR15595279;0;0;3623;0;0;0;23;0;304;0;0;1;0;0;0;0;0;0;207;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88;0;6505;788;101;15367;75;106;5;5;463;0;770;154;0;2;350;84;306362;47;0;0;0;18;1;0;806;13;412;40;0;0;24;0;4;1;22;22;23395;27;17;17;1;3;251;0;0;200;160;9;1;0;10581;0;4;0;54;0;0;288;2;0;0;0;0;0;0;6;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3431;0;12791;7;541691;528;3;2;865288;0;6602;0;125;11;1512;4410362;9328;145;489;19;128;134;10;1807;13591;0;0;136645;0;513;0;1;434933;776;0;18;7;90;0;17;91;26;151;1;0;8;14;11;811;0;9;5;7;3;22;17;1;2;0;121;0;1;29088;23;0;808;0;3;2;19;1;16;15;2;13;109;0;3;87862;0;4;723;26;0;10;0;0;0;0;0;0;1;38084;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1518;0;0;8;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;4734077;8;0;26;633;0;0;213;7;3;375;0;186;1;0;0;0;0;0;0;0;0;0;0
SRR22402368;0;0;5078;6;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;1;139770;35;52;1801;6;1;58;0;51;0;170;75;0;0;38;1;7136161;5;0;14453;0;51;0;0;167;5;26;0;0;0;120;0;0;0;5;0;139158;4;3;5;1;3;34;0;0;30;1021;29;1;0;9942;1;0;0;58;0;0;1044;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;345;6215;4852;2;112563;21058;0;0;1492035;0;2926;332737;39;984;0;18049861;325;25;243;0;1;46;0;462;168535;0;0;317088;0;165;0;0;1495;306686;0;5;27;12;0;1;22;0;0;0;0;1;4;1;386;0;0;0;1;0;0;3;3;0;0;2;0;0;736002;4;0;97875;0;0;1;4;0;13;0;0;0;7;1;1;0;0;0;134;0;2;0;0;0;0;0;0;0;1;50758;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;36507712;3;3;100;68;0;0;0;0;0;458;1712;0;23;0;30;0;0;0;0;0;0;0;0
SRR22402369;0;3;65458;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;323647;1719;39;261;26;7;18;1;20;0;169;31;2;2;19;4;285871;5;0;1293;0;0;0;0;377;3;33;0;0;0;74;3;2;0;39;1;1027;0;14;0;0;1;90;0;0;133;38;29;1;0;41;0;0;0;8;0;1;37;0;0;0;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;640;5063;544;0;22917;11137;1;5;903059;0;2111;726309;22;303;0;9931784;252;59;113;14;44;40;0;259;83564;0;0;24059;0;108;0;1;215431;289993;0;3;8;37;0;6;26;2;0;1;5;5;0;6;441;0;3;0;7;0;3;17;7;0;71;3;5;2;142845;15;0;702;0;0;10;0;2;8;0;23;0;56;0;6;3;0;0;301862;0;0;1;0;1;1;0;0;0;1;30733;2;0;0;7;0;0;0;0;5;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21125973;1;0;0;0;0;0;0;0;0;63;91;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595345;0;0;8459418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;3893;0;0;0;5;0;0;2;0;0;0;0;0;6645;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;8;0;1;0;0;0;13;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;0;0;6;4;0;0;102;0;3954;0;0;0;89;739;1272;0;0;0;0;0;0;84;0;4;0;553;0;0;0;0;51;0;0;0;0;167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402300;0;0;1603;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;4;131979;770;28;1374;75;55;0;6;1;0;252;114;0;0;13;18;4769;3;0;24;1;43;0;0;918;2;257;0;0;5;171;0;1;0;68;1;79777;0;21;4;11;107;72;0;0;536;876;44;1;0;70;0;3;3;17;0;0;167;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5716;15936;11973;0;129212;7515;0;76;1504097;0;8255;113081;229;473;0;12824482;683;180;246;12;12;162;9;280;55899;0;0;410270;0;443;0;1;160622;431797;0;1;5;88;0;8;88;1;63536;2;2;15;2;0;262;0;10;0;10;0;3;16;6;0;11334;16;0;1;101854;13;15;12054;0;68;62;0;1;22;8;12;1;170;0;2;25149;0;0;144360;0;10;3;1;1;0;0;0;1;0;64217;0;0;0;0;1;0;0;3;1;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12152207;5;0;0;191;0;0;10;0;0;219;29;2165;1;0;10;0;0;0;0;0;0;0;0
SRR15595245;0;0;5838;0;0;0;0;0;339;0;0;0;35;0;0;0;0;0;15;0;0;0;0;1706;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9901;721;87;2211;22;19;9;1;15;0;194;19;0;1;71;9;133305;0;0;0;2;8;0;0;277;1;70;0;0;0;29;0;1;1;4;2;57;2;7;8;1;4;72;0;0;98;327;0;0;0;35;0;1;2;12;0;1;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1625;0;34178;2;199370;599;2;2;1486700;0;1304;0;14;12;177;3628090;11098;53;877;5;41;43;14;226;9715;0;0;42524;0;1452;0;2;598356;80;0;3;10;49;0;7;24;16;1065;8;0;2;4;33;124929;0;0;23;18;1;0;12;15;0;0;1;0;0;1860;16;0;171;1;0;1;23;0;2;0;4;0;11;1;1;169;0;0;42323;25;0;0;0;0;0;0;0;0;0;147743;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6329939;0;0;3;66;0;119;17;0;0;53;0;0;1;0;0;0;2;0;0;196;0;0;0
SRR22402271;0;0;126347;0;0;1;0;0;3;0;0;0;1;0;0;1;0;0;10;1;722;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;909353;9419;122;2170;416;51;36;8;196;14;1470;343;1;0;602;44;10279;30;95;1850;23;8;0;0;3411;174;1088;66;0;0;93;45;61;1;96;118;21788;32;29;156;27;58;1880;5;6;1296;570;16;0;0;129;0;0;0;357;2;4;425;2;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1924;17984;8285;12;122914;859;15;13;865791;1;5719;29190;231;350;1;21567091;899;363;1202;4;162;487;73;946;256343;0;0;185631;2;566;60;0;751586;1218046;0;10;13;148;0;4;259;14;87273;64;16;23;11;14;1534158;3;6;20;28;3;14;9;60;1;950;10;0;15;4609;58;5;1397;3;4;16;26;7;83;5;60;0;162;0;20;44664;0;14;1720195;0;5;68;1;3;0;0;0;0;0;341815;0;0;79;3;4;0;0;0;11;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14409044;6;1;0;0;16;21;0;0;0;0;95;18;72;1543;65;0;2;0;0;0;0;0;0
SRR22402353;0;3;28657;0;0;0;0;0;153;0;0;4;0;0;0;0;0;0;0;0;145;39;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6;0;499203;1447;52;2019;39;6;7;0;17;1;581;213;5;0;27;39;10962;5;0;137;21;33;0;2;1225;1;381;0;0;0;63;18;17;1;23;10;3379;2;31;46;8;2;500;0;1;641;74;6;2;0;292;0;0;0;96;11;4;262;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;914;8239;1683;2;45760;534;2;2;191032;0;2180;47792;97;637;0;12685422;434;151;580;2;52;57;0;745;110214;0;0;34923;0;134;0;0;160518;675982;0;15;15;151;0;13;28;2;19901;0;10;8;1;110;253;0;8;0;16;0;4;26;120;0;6879;374;0;5;312503;50;0;1353;0;0;38;0;0;1;0;0;0;60;0;22;46612;0;0;1215;1;0;33;0;0;10;0;0;0;0;41731;2;0;0;0;1;0;0;208;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;14592771;60;0;276;1272;0;0;83;2;1;608;61;196;0;5567;14;0;0;0;0;0;0;0;0
SRR15595317;0;0;5575802;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;2589;0;0;0;1;0;0;11;0;0;0;30;0;4368;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;20;0;0;0;35;0;3265;0;0;0;49;558;939;0;0;0;0;0;0;20;0;0;0;215;0;0;0;0;37;1;0;0;0;98;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595293;0;0;31144;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1409;0;0;0;184;0;0;0;0;0;0;25;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;945;46;7;1162;4;0;0;13;12;0;84;1;1;0;3579;2;5411;0;0;0;0;19;0;0;179;1;69;0;0;0;18;0;2;0;16;17;360;0;0;0;11;0;7;0;2;93;56;0;0;0;2;1;2;0;3;0;0;176;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1266;0;10954;9;150137;149;2;0;234621;0;1043;0;44;76;48;4615409;362;21;340;4;7;19;1;102;360;0;0;249803;0;126;0;2;233418;706;0;1;0;27;0;0;42;0;0;1;0;0;13;132;265817;0;11;0;11;0;0;5;2;0;0;0;0;0;5076;7;0;30;2;0;0;20;0;56;0;1;0;64;0;2;0;0;0;12796;0;2;0;0;0;0;0;0;2;2;25809;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;244968;2;1;0;8;0;0;0;0;1;101;57;23;1;0;0;0;1;0;0;0;0;0;0
SRR22402356;0;0;14148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;410317;717;16;8594;22;7;5;0;1;1;70;19;0;0;30;1;116497;0;0;29;0;3;0;0;140;0;34;0;0;0;13;1;0;0;21;0;36942;0;0;3;0;28;15;0;0;49;184;5;4;0;18;0;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;176;721;1491;5;25876;175;0;2;475972;0;1641;11009;22;337;0;6403087;938;16;62;0;16;5;0;53;64016;0;0;181056;0;118;0;0;126816;125659;0;0;16;16;1;4;4;1;39243;0;0;0;0;9;76;0;0;0;4;0;2;0;22;0;69;1;0;0;80898;0;0;53;0;0;5;0;0;2;0;0;0;10;0;2;574;0;0;121102;0;0;0;1;0;0;0;0;0;0;64258;0;0;0;1;0;0;0;0;0;4;1;0;0;0;1;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14193360;0;0;2;21;0;0;5;0;0;0;0;79;0;0;0;0;0;0;0;0;0;0;0
SRR22402332;0;0;77496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;7;101262;198;75;667;15;1;69;1;11;0;222;105;1;0;110;25;574084;1;0;2331;4;17;1;0;749;2;75;0;0;0;31;3;0;0;84;22;11471;0;38;16;7;2;76;1;0;260;283;12;1;0;32;0;0;0;28;0;0;334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;965;8129;2110;2;64489;916;1;1;46677;0;2464;10039;235;1091;0;14690791;500;60;110;7;93;40;2;375;274148;0;0;68081;0;3306;0;0;143568;548432;0;1;9;119;0;3;78;1;10;0;8;2;0;8;151;28;15;0;9;0;6;16;15;0;167;7;0;10;599134;2;0;423;0;2;20;11;0;11;0;29;0;114;0;8;0;0;0;107;0;1;0;0;0;0;0;0;0;0;121163;1;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;1;11;0;0;0;25;1;0;154;0;39;0;0;55;0;1;0;0;0;0;0;0
SRR22402295;0;38;14101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;25;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;165;61;238261;4476;200;2697;485;2;24;71;110;17;636;235;2;0;53;269;8735;37;0;742;4;23;0;0;2540;8;648;0;10;0;127;10;83;20;56;91;494;2;55;20;7;91;632;5;6;1104;535;18;1;0;121;0;2;56;131;0;9;229;35;0;0;1;16;1;1;4;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2212;26790;1287;180;53039;3803;77;5;55934;12;7605;72304;224;2065;0;10330833;839;380;266;19;240;663;4;1355;56945;0;5;20274;0;982;1;5;222863;828869;0;22;658;787;0;33;139;11;5791;8;48;18;51;105;58292;1;23;12;112;11;17;116;144;0;987;137;1;4;1281;37;9;43646;0;8;0;54;2;84;2;12;11;855;0;34;64385;0;0;241456;0;3;29;2;5;1;0;0;0;1;46738;12;0;1;0;6;0;0;131;45;1;7;7;0;0;2;0;6;0;0;0;2;0;0;4;0;0;0;8;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;9722049;21;9;95;4608;6;0;52;1;0;3289;85;2092;10;0;0;0;0;0;0;0;0;0;0
