Sample;Glycine subgen. Soja;Drosophila;Callithrix;Zeugodacus;Mus;Musca;Sophophora;Culex;Ceratitis;Pyrobombus;Xenopus;Solanum subgen. Lycopersicon;Aspergillus subgen. Nidulantes
SRR15595267;0;0;2;0;131;3;0;0;0;0;0;0;0
SRR22402367;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595347;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595254;0;0;0;0;89;0;0;0;0;0;0;0;0
SRR15595339;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595277;0;0;0;0;255;0;0;0;0;0;0;0;0
SRR22402355;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402313;0;0;9;0;0;0;0;0;0;0;0;0;0
SRR22402365;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402342;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402289;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595315;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595295;0;0;0;0;35;0;0;0;0;0;0;0;0
SRR22402343;0;0;21;0;0;0;0;0;0;0;0;0;0
SRR22402320;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595351;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595244;0;0;0;0;87;0;0;0;0;0;0;0;0
SRR22402326;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402282;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402303;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402354;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402380;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402378;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402301;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402333;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595259;15;0;0;0;0;0;108;0;0;0;0;0;0
SRR22402256;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402272;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402260;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402372;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595332;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595349;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402324;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402279;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595273;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402286;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595331;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595291;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595330;0;0;0;0;122;0;0;0;0;0;0;0;0
SRR22402383;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402262;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402316;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402361;0;0;0;0;0;0;0;1;0;0;0;0;0
SRR22402266;0;0;0;0;0;0;0;0;2;0;0;0;0
SRR22402331;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402311;0;0;5;0;0;0;0;0;0;0;0;0;0
SRR15595343;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595252;0;0;0;0;231;0;0;0;0;0;0;0;0
SRR15595344;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402337;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595346;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595297;0;0;0;0;22;0;0;0;0;0;0;0;0
SRR22402376;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402345;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402257;0;0;0;0;0;0;0;0;5;0;0;0;0
SRR15595326;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402338;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595265;1;0;0;0;95;0;0;0;0;0;0;0;0
SRR15595309;0;0;0;0;25;0;0;0;0;0;0;0;0
SRR15595281;0;0;0;0;112;0;0;0;0;0;0;0;0
SRR22402307;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402318;0;0;0;0;15;0;0;0;0;0;0;0;0
SRR22402323;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595263;0;0;0;0;0;0;0;0;0;0;0;0;0
