Sample;Euarchontoglires;Galloanserae;Characiphysae;Laurasiatheria;Peracarida;Batrachia;Eucarida;Cypriniphysae;Ceratodontae;Psocodea;Cichlomorphae;Galeoidea;Amphiesmenoptera;Xenarthra;Octopodiformes;Neuropterida;Afrotheria;Parasitiformes;Palaeognathae;Imparidentia;Atherinomorphae;Batoidea
SRR22402332;77577;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0
SRR22402295;14119;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
SRR15595303;253;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402379;26903;0;0;19;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402304;29652;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402350;9877;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402268;153139;0;0;311;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402297;34980;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
SRR22402317;1941;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595353;6633306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595257;507;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595248;7758;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595305;762;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402349;3722;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402273;196962;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595329;4854738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402314;4843;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402321;4551;0;0;27;0;0;26;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0
SRR22402322;44602;0;0;510;0;0;0;0;79;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402259;57841;1;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595336;17340441;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402352;12801;0;0;3;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595253;1898;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402263;19033;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402312;13346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402335;4919;48;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402384;7862;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402267;47668;0;0;19;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402293;29379;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595255;674;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595335;14159395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402371;10606;0;0;194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402309;8397;0;0;146;0;0;36;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
SRR22402344;84435;0;57;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402306;36051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595267;10130;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402367;17193;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595347;6150680;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595254;699;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595339;12734402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
