Sample;Caniformia;Apogonoidei;Dendrobranchiata;Myomorpha;Auchenorrhyncha;Pleocyemata;Brachycera;Tylopoda;Haplorrhini;Siluroidei;Lepidosirenoidei;Nematocera;Cryptodira;Ruminantia;Feliformia;Cyprinoidei;Megachiroptera;Apocrita;Whippomorpha;Apiineae;Incirrata;Sciuromorpha;Heteroptera;Microchiroptera;Sternorrhyncha;Suina;Hemerobiiformia;Anoplura;Senticaudata;Strepsirrhini;Caelifera;Acipenseroidei;Adrianichthyoidei;Tylenchina;Castorimorpha;Characoidei;Glossata;Gobioidei;Araneomorphae;Pulicomorpha;Folivora;Chloroflexineae;Sorangiineae;Cystobacterineae;Nannocystineae;Tornidovirineae;Roseiflexineae
SRR22402278;0;0;0;1;0;0;0;0;157478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;69;726;0;0;0
SRR22402265;0;0;0;0;0;0;0;0;379754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;32;0;0;0
SRR22402281;0;0;0;0;0;0;0;0;106725;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;90;0;0;0
SRR15595324;0;0;0;0;0;0;0;0;20795304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402280;0;0;0;0;0;0;0;0;23084;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;131;151;0;0;0
SRR22402275;0;0;7;0;0;0;0;0;32899;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0
SRR15595337;0;0;0;0;0;0;0;0;7793832;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595251;0;0;0;0;0;0;0;0;6836716;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402285;0;0;0;3;0;0;0;0;36626;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;155;1;0;0
SRR15595352;0;0;0;0;0;0;0;0;6464266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402254;0;0;0;0;0;0;0;0;33493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;131;0;0;0
SRR22402347;0;0;0;0;0;0;0;0;8401;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;26;0;0;0
SRR22402277;0;0;24;0;0;0;5;0;58489;0;0;0;2;0;10;0;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;135;0;0;0
SRR22402292;0;0;0;0;0;0;0;0;3895;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
SRR22402374;0;0;10;0;0;0;1;0;13191;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;15;41;0;0;0
SRR22402377;0;0;0;3;0;0;4;0;153870;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;0;0;0;0
SRR22402310;2;0;0;0;0;0;0;0;2254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
SRR22402319;0;0;0;0;0;0;0;0;12657;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0
SRR22402264;0;0;0;0;0;0;0;0;524802;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;265;265;0;0;0
SRR22402381;0;0;0;0;0;0;2;0;102054;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0
SRR15595279;0;0;0;304;0;0;0;0;3610;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;111;1;0;0
SRR22402368;3;0;0;0;0;0;0;0;5061;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0
SRR22402369;0;0;0;0;0;0;0;0;65359;0;0;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;32;0;0;0
SRR15595345;0;0;0;0;0;0;0;0;8451765;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402300;2;0;0;0;0;0;0;0;1601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;96;0;0;0
SRR15595245;0;0;0;339;0;0;0;0;5823;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;2;0;0
SRR22402271;0;0;0;3;0;0;0;0;126221;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;476;0;0;0
SRR22402353;0;0;0;0;0;0;3;0;28617;0;3;0;0;38;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0
SRR15595317;0;0;0;0;0;0;0;0;5571857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595293;0;0;0;1;0;0;0;0;31073;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;2;0;0
SRR22402356;0;0;0;0;0;0;0;0;14122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0
SRR22402332;0;0;0;0;0;0;0;0;77383;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;34;1;0;0
SRR22402295;0;0;0;0;0;0;2;0;14070;0;0;23;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;5;0;634;0;0;1
SRR15595303;0;0;0;79;0;0;0;0;174;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;10;0;32;0;0;0
SRR22402379;0;0;21;8;0;0;0;0;26802;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402304;2;0;0;0;0;0;0;0;29599;0;0;0;0;0;0;0;0;0;2;97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;15;0;0;0;0
SRR22402350;0;0;0;8;0;0;1;0;9847;0;0;0;0;0;12;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0
SRR22402268;0;0;2;0;0;0;0;0;152800;0;0;0;0;303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0
SRR22402297;4;0;0;0;0;0;0;0;34874;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;185;0;35;0
SRR22402317;0;0;0;0;0;0;0;0;1932;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;50;2;0;0
SRR15595353;0;0;0;0;0;0;0;0;6622588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595257;0;0;0;43;0;0;0;0;463;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;0;0;0
SRR15595248;0;0;0;117;0;0;0;0;7597;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0
SRR15595305;0;0;0;169;0;0;0;0;593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0
SRR22402349;0;0;0;0;0;0;0;0;3712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0
SRR22402273;0;0;0;0;0;0;0;0;196594;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;1;0;0
SRR15595329;0;0;0;0;0;0;0;0;4845800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402314;3;8;0;34;0;0;15;0;4786;0;0;0;0;11;0;0;0;3;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402321;0;0;24;0;0;2;0;0;4538;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;103;0;0;0
