Sample;Archaea;Bacteria;Eukaryota;Viruses
SRR15595297;476;6427848;1175;2679
SRR22402376;133;32341867;7257;407112
SRR22402345;50251;21925563;3197;1578964
SRR22402257;216393;33166656;8055;1289674
SRR15595326;36;112232;6218526;1
SRR22402338;0;49304128;101716;734867
SRR15595265;184;4740474;1644;1139
SRR15595309;234;4481744;217964;6525
SRR15595281;156;19998031;66053;6832
SRR22402307;3;20268465;49291;176787
SRR22402318;3915;24254884;15094;728205
SRR22402323;23884;33344995;29270;680679
SRR15595263;115;289900;10567427;16
SRR22402299;55087;36077957;6932;1737607
SRR22402336;0;17178289;321697;144163
SRR15595338;66;314806;7360172;1
SRR22402290;67;19831084;20125;663767
SRR15595283;26119;9853815;9656;4632
SRR22402305;9;28557900;334291;193052
SRR15595350;16886;6121452;1700;4422
SRR22402341;6;34523362;223185;277659
SRR22402255;0;26957971;11843;593629
SRR22402359;64751;22821718;296562;740071
SRR15595301;727;8217616;2185;6415
SRR22402287;91634;35750370;9628;1206722
SRR22402325;56;62962832;392932;1150894
SRR15595250;708;20495188;14200;970
SRR15595285;1278;9542615;5095;7030
SRR22402258;7839;19410686;4124;164362
SRR15595348;42;128726;5521063;2
SRR22402339;13445;33111863;32739;684232
SRR22402340;58;31366582;48546;407733
SRR22402375;1;24271472;3374;112729
SRR22402385;102172;62882438;1303785;736577
SRR22402274;2;27864533;28710;197282
SRR22402330;189;29397496;385119;736730
SRR22402327;31022;23094148;13270;382643
SRR15595340;69;201759;11012360;83
SRR22402308;157148;32210426;725021;1763517
SRR22402360;151;25487559;588067;1052241
SRR15595261;0;4361207;17570;576
SRR15595319;261;4944590;1075;2758
SRR15595313;247;10704105;746;13938
SRR15595307;235;13007618;16066;1006
SRR15595341;19611;5694854;1938;1775
SRR22402291;141;53436484;163403;1860450
SRR15595333;126;270197;14059967;5
SRR15595320;104;452691;11283329;5
SRR22402315;78648;12372280;2658;571081
SRR22402363;21;19152998;2237;726653
SRR22402328;2;42813963;110634;460914
SRR22402366;52;40219193;22838;654292
SRR15595323;69;166172;7364471;0
SRR15595275;84;8644200;30244;5810
SRR22402351;126677;33213182;135287;459969
SRR15595287;15;129583;5064331;1
SRR15595334;114;427690;14659786;1
SRR22402362;32607;22221270;104307;186308
SRR22402357;38681;24188525;7226;645763
SRR22402334;204;29016371;331348;255490
SRR15595325;2;4666;46992;0
SRR22402373;59;45297045;184045;459485
SRR15595322;20;188589;5840694;3
SRR15595328;54;95572;5087396;1
SRR22402294;5;26750988;1465;1627279
SRR15595318;140;366676;13199743;1
SRR15595327;27;139087;5771134;9
SRR15595299;134;141904;8665297;1
