Sample;Thermotogae;Thermodesulfobacteria;Acidobacteria;Fusobacteria;Synergistetes;Euryarchaeota;Spirochaetes;Coprothermobacterota;Proteobacteria;Dictyoglomi;Deferribacteres;Elusimicrobia;Nitrospirae;Chrysiogenetes;Aquificae;Candidatus Thermoplasmatota;Calditrichaeota;Pisuviricota;Chlamydiae;Streptophyta;Fibrobacteres;Gemmatimonadetes;Phixviricota;Uroviricota;Armatimonadetes;Tenericutes;Deinococcus-Thermus;Kiritimatiellaeota;Chloroflexi;Actinobacteria;Verrucomicrobia;Planctomycetes;Hofneiviricota;Cressdnaviricota;Firmicutes;Artverviricota;Lentisphaerae;Crenarchaeota;Taleaviricota;Nitrospinae;Nucleocytoviricota;Chlorophyta;Caldiserica;Preplasmiviricota;Peploviricota;Fornicata;Cossaviricota;Kitrinoviricota;Evosea;Candidatus Cryosericota;Negarnaviricota;Duplornaviricota;Bacteroidetes;Ignavibacteriae;Cyanobacteria;Balneolaeota;Chlorobi;Candidatus Saccharibacteria;Rhodothermaeota;Oomycota;Candidatus Melainabacteria;Apicomplexa;Ciliophora;Porifera;Ascomycota;Basidiomycota;Cnidaria
SRR22402298;35;24;48;5746;154;15826;254;0;372090;0;16;2;2;0;13;185;0;6;0;205;29;22;2770;581635;7;410;128;7;28;2153726;648;22;9604;71;12018052;0;92725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18502118;0;127;1;1;392;1;0;0;0;0;0;0;0;0
SRR22402270;78;27;49;128;210;358;215;0;413880;0;3;0;0;8;58;0;0;8;6;11;113;182;199;683049;17;72;217;1;68;124082;336;32;7767;107;10705922;0;101793;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16802782;2;133;0;0;20;4;0;4;0;0;0;0;0;0
SRR22402296;72;0;67;296;471;6146;154;0;1092123;0;55;0;0;6;34;2;0;5;0;38;64;25;1659;671362;2;53;166;0;64;245268;28075;23;17034;92;15424939;0;37131;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;33412232;0;175;0;5;181;1;0;0;0;0;0;0;0;0
SRR22402302;14;0;0;282;25;2;26;1;1339183;0;0;0;0;0;2;0;0;0;1;50;0;0;505;3052604;0;3;15;0;1;409893;1587;0;4375;15;9829519;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42915157;0;43;0;0;158;0;0;0;0;0;0;14;0;0
SRR22402288;181;6;26;193;279;35;364;1;1168708;0;0;0;0;30;93;1;0;3;0;21;262;15;245;700905;18;195;216;1;137;913035;317539;26;11866;71;12958893;0;0;0;0;1;32;0;0;0;0;0;0;0;0;0;0;0;16967183;0;170;1;5;209;0;0;4;0;0;0;0;0;0
SRR22402284;24;0;5;60;35;11;125;0;887470;0;0;0;0;0;5;0;0;0;1;47;12;0;1154;336866;7;18;33;0;10;1008157;1599;0;1380;0;7615772;0;643;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20750556;0;132;1;0;297;1;0;0;0;0;0;19;0;0
SRR22402382;70;108;121;64;72123;557080;103;2;1147012;0;1;1;5;0;1;889;0;22;0;44;67;37;490;877932;7;374;159;8;108;228994;628;60;30707;0;11592978;0;64729;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;9303394;0;146;0;1;1;1;0;0;0;0;0;0;0;0
SRR15595271;11;1;29;7;33;142;33;2;44298;0;0;0;0;0;0;0;0;0;0;227;4;2;1;220;12;8;60;0;7;6013198;38864;12;0;1;5956899;0;0;34;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1969995;0;24;1;0;30;3;0;1;0;0;0;47;0;0
SRR22402329;12;0;17;215;1904;484;55;0;612073;0;0;0;0;0;2;0;0;7;0;0;7;0;78;220850;0;6;26;0;4;89985;75;3;9208;0;6213533;0;48;0;0;2;0;0;0;7;1;0;0;0;0;0;0;0;9713149;2;71;0;1;391;0;0;0;0;1;0;0;0;0
SRR15595247;0;0;0;0;0;2;0;0;9533;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1890;0;0;0;0;5102;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;201;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402348;4;0;2;133;8;6;41;0;387277;0;0;0;1;0;2;0;0;1;0;5;1;13;121;308334;0;11;5;0;1;1102160;592286;13;4119;0;7961422;0;5674;0;0;0;1;0;0;13;0;0;0;0;0;0;0;0;22074035;48;8;0;0;63;0;0;0;0;0;0;4;0;0
SRR22402283;48;0;3;428;5;6;32;0;987590;0;7;0;0;0;0;0;0;0;0;602;5;0;3841;1126427;4;13;14;0;4;967017;3039;4;5115;8;22221454;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28547855;0;19;0;0;138;0;0;1;0;0;0;36;0;0
SRR15595342;0;0;0;0;0;0;0;0;9885;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2186;0;3;0;0;4545;0;0;94;0;0;0;0;0;0;10;0;0;0;0;0;0;0;1558;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595289;6;2;5;5;66;857;11;2;22635;0;0;0;0;0;1;0;0;0;0;211;1;3;37;185;0;14;18;1;15;1841962;4346;2;0;3;3951300;0;0;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1499191;0;214;0;0;949;0;0;0;0;0;0;16;0;0
SRR22402278;206;22;408;1074;28571;65119;607;0;657482;0;53;0;16;0;49;833;0;13;15;74;364;83;3122;721659;347;537;1185;7;264;1568283;686675;115;11706;166;11316881;0;169739;0;0;1;1;0;0;94;0;0;0;0;0;0;0;0;8144909;1;858;0;91;512;0;0;0;0;0;0;152;0;0
SRR22402265;49;1;30;3998;7519;37643;222;0;488525;0;0;0;5;0;14;0;0;6;0;3;14;28;2763;464384;3;44;90;2;301;297944;365281;11;4171;99;6458171;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16197069;1;95;0;2;12;2;0;0;0;0;0;0;0;0
SRR22402281;235;136;33;894;371;106343;313;0;383217;0;4;0;10;6;21;0;0;28;2;299;169;89;4261;876284;71;922;437;0;323;109854;1073725;40;37166;233;15738672;0;1258;0;0;0;1;0;0;0;0;0;8;0;0;0;0;0;19112685;1;763;0;1;444;7;0;15;0;0;0;10;0;0
SRR15595324;0;0;0;0;0;26;0;0;31311;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;4691;0;14;0;0;13828;3;0;139;0;0;0;0;0;0;53;0;0;0;0;0;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402280;137;93;188;647;330;63888;239;0;577833;0;11;1;2;15;86;1;0;11;5;176;258;138;2022;1087771;33;832;353;3;217;1005838;4613;33;28481;104;18209213;0;191985;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;26271673;1;377;0;9;620;0;0;3;0;0;0;1680;0;0
SRR22402275;21;0;13;961;140;32;47;0;338680;0;0;0;0;0;0;0;0;1;4;6;2;0;104;1975557;0;19;59;0;5;1178550;317;6;5991;0;9730971;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;17584052;0;25;0;12;284;4;0;0;0;0;0;0;0;0
SRR15595337;0;0;0;0;0;0;0;0;10737;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;1945;0;0;0;0;6916;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595251;0;0;0;0;0;0;0;0;8832;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;1970;0;4;0;0;6892;1;0;34;0;0;0;0;0;0;9;0;0;0;0;0;0;0;674;0;2;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402285;37;20;48;106;129;345;508;0;598673;0;2;0;0;0;6;0;0;1;0;58;36;18;3632;920597;11;110;83;0;32;694971;9591;10;9499;36;14772918;0;7324;0;0;0;11;0;0;0;1;0;0;0;0;0;0;0;36881785;0;254;1;1;624;2;0;0;0;0;0;0;6;3
SRR15595352;0;0;0;0;0;0;0;0;6836;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1226;1;1;0;0;3974;1;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;658;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402254;43;101;137;561;675;64668;466;0;487299;0;17;0;0;1;11;0;0;7;5;11;36;310;248;2355547;91;484;337;3;225;1352255;408763;56;27047;0;6884314;0;243211;0;0;18;1;0;0;0;0;0;0;1;0;0;0;0;14163643;34;264;0;10;86;0;0;0;0;0;0;0;0;0
SRR22402347;15;22;14;29;103;20;184;0;20974;0;1;0;1;11;26;6;0;2;0;9;95;6;72;424172;1;6;98;0;13;46610;80;14;6014;0;10329470;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;10319524;0;27;0;0;7;1;2;0;0;0;0;0;0;0
SRR22402277;132;23;45;444;8900;72830;533;1;1087161;0;196;1;15;11;13;1754;0;47;0;230;41;190;1763;1341383;34;852;489;0;154;242208;9164;45;14748;373;17093696;0;116959;0;0;21;0;0;0;11;0;0;0;0;0;0;0;0;24429028;3;485;0;7;578;1;0;13;0;0;0;128;0;0
SRR22402292;5;0;6;342;0;0;3;0;158045;0;0;0;0;2;1;0;0;3;0;5;2;0;92;149583;0;4;0;0;1;64256;0;9;247;1;6840891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22690923;0;13;0;0;128;1;0;0;0;0;0;0;0;0
SRR22402374;18;67;58;1660;23273;6753;303;0;1246455;0;1;0;0;1;7;4;0;6;2;0;36;29;510;660496;5;29;169;9;29;208110;1394139;19;17268;98;14506668;0;94677;0;0;0;3;0;0;17;0;0;0;0;0;0;0;0;28819818;1;44;0;3;270;0;0;0;0;0;0;30;3;0
SRR22402377;50;3;125;674;860;133;294;0;643584;0;14;1;0;0;14;4;0;17;71;1754;354;68;1024;619620;13;484;515;0;87;263279;208847;67;8348;230;12180327;0;157963;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;19310587;11;399;0;59;121;2;0;0;0;0;0;11;0;0
