Sample;Petrosaviidae;Pterygota;Autobranchia;Neopterygii;Dothideomycetidae;Eumalacostraca;Chondrostei;Dipnomorpha;Acari;Testudinata;Elasmobranchii;Hypocreomycetidae;Xylariomycetidae;Sordariomycetidae;Hirudinea;Neomphalina;Coleoidea;Digenea;Oscillatoriophycideae;Sphaerobacteridae;Heteroscleromorpha
SRR22402379;0;0;0;0;9;21;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
SRR22402304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
SRR22402350;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0
SRR22402268;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0
SRR22402297;14;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;70;0;0
SRR22402317;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0
SRR15595353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595257;5;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0
SRR15595248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
SRR15595305;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
SRR22402349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
SRR22402273;15;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
SRR15595329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402314;15;28;0;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63;1;0
SRR22402321;7;0;0;42;0;26;0;0;0;0;0;0;0;0;0;0;3;0;30;0;0
SRR22402322;3;0;0;11;0;0;0;79;0;0;0;0;0;2;0;0;0;0;19;1;0
SRR22402259;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;28;0;0
SRR15595336;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402352;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595253;383;173;0;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
SRR22402263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
SRR22402335;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
SRR22402384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402267;61;11;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;35;0;0
SRR22402293;72;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0
SRR15595255;365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
SRR15595335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402309;42;2;0;0;0;36;0;0;0;0;6;0;0;0;0;0;0;0;10;0;0
SRR22402344;9;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0
SRR22402306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0
SRR15595267;9;3;165;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
SRR22402367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
SRR15595347;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595254;202;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
SRR15595339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595277;534;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402355;0;12;0;5;0;12;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0
SRR22402313;26;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;295;0;0
SRR22402365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0
SRR22402342;1;7;0;0;0;6;0;0;0;1;0;0;0;0;0;0;0;0;8;0;0
SRR22402289;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
SRR15595315;33;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
SRR15595295;643;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0
SRR22402343;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164;3;0
SRR22402320;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0
SRR15595351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595244;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0
SRR22402326;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
SRR22402282;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
SRR22402303;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0
SRR22402354;0;0;0;13;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
SRR22402380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
SRR22402378;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
SRR22402301;102;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;7;0;0
SRR22402333;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;5
SRR15595259;307;111;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
SRR22402256;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
SRR22402272;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
SRR22402260;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;2;0
SRR22402372;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0
SRR15595332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402324;62;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;1;3;0
SRR22402279;3;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0
SRR15595273;59;0;3580;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
SRR22402286;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0
SRR15595331;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0
SRR15595330;1845;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
SRR22402383;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402262;265;93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0
SRR22402316;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0
SRR22402361;30;8;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;138;0;0
SRR22402266;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
SRR22402331;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402311;55;31;0;0;0;56;0;0;0;1;0;0;0;0;0;0;0;0;37;0;0
SRR15595343;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR22402337;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
SRR15595346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SRR15595297;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
SRR22402376;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0
SRR22402345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0
